open_position_time	option_type	pnl_15747	pnl_15776	delta
2023-04-21 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-04-24 12:00:00	long	0.00000000	0.00000000	0.00000000
2023-04-24 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-04-26 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-04-30 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-04-30 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-04-30 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-05-04 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-05-10 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-05-11 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-05-15 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-05-16 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-05-24 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-02 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-02 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-03 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-04 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-05 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-09 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-10 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-10 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-12 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-13 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-15 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-15 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-17 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-19 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-20 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-20 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-06-23 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-25 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-06-27 00:00:00	short	0.00000000	0.00000000	0.00000000
