open_position_time	side_15776	side_15777	pnl_15776	pnl_15777	delta
2022-12-19 08:00:00	long	long	2.97998247	3.15578996	0.17580749
2022-12-20 08:00:00	long	long	5.07698160	5.37650395	0.29952235
2022-12-23 20:00:00	short	short	-1.17798947	-1.24748631	-0.06949684
2022-12-25 20:00:00	short	short	4.09061767	4.33194835	0.24133068
2022-12-26 00:00:00	short	short	2.67217893	2.82982719	0.15764826
2022-12-29 04:00:00	long	long	17.11909227	18.12905275	1.00996048
2023-01-05 00:00:00	short	short	2.33251663	2.47012612	0.13760949
2023-01-06 20:00:00	long	long	2.99251580	3.16906270	0.17654690
2023-01-08 20:00:00	short	short	3.27618473	3.46946701	0.19328228
2023-01-09 00:00:00	short	short	-14.22562891	-15.06488620	-0.83925729
2023-01-11 04:00:00	short	short	1.93947219	2.05389358	0.11442139
2023-01-11 20:00:00	short	short	-3.54726853	-3.75654371	-0.20927518
2023-01-12 00:00:00	long	long	3.08972917	3.27201129	0.18228212
2023-01-12 04:00:00	long	long	43.75756000	46.33908744	2.58152744
2023-01-17 20:00:00	short	short	-7.44025943	-7.87920607	-0.43894664
2023-01-21 00:00:00	long	long	-15.18507461	-16.08093550	-0.89586089
2023-01-25 04:00:00	short	short	-15.59733862	-16.51752150	-0.92018288
2023-01-28 00:00:00	long	long	-7.64297418	-8.09388021	-0.45090603
2023-01-28 20:00:00	long	long	-3.60100713	-3.81345267	-0.21244554
2023-01-29 08:00:00	long	long	5.93080581	6.28070050	0.34989469
2023-02-02 00:00:00	long	long	11.74623687	12.43921958	0.69298271
2023-02-03 00:00:00	short	short	8.04463439	9.35710418	1.31246979
2023-02-06 12:00:00	long		4.36510356	0.00000000	-4.36510356
2023-02-08 00:00:00	short		5.18743301	0.00000000	-5.18743301
2023-02-10 00:00:00	short	short	13.73483280	14.19728040	0.46244760
2023-02-12 00:00:00	long	long	4.83807737	5.00097394	0.16289657
2023-02-13 08:00:00	long	long	-5.64429216	-5.83433374	-0.19004158
2023-02-13 16:00:00	long	long	9.05891226	9.36392305	0.30501079
2023-02-15 16:00:00	long	long	27.72372145	28.65717062	0.93344917
2023-02-20 00:00:00	short	short	6.99139496	7.22679308	0.23539812
2023-02-22 16:00:00	long	long	-8.06337048	-8.33486168	-0.27149120
2023-02-22 20:00:00	short	short	-8.05218736	-8.32330203	-0.27111467
2023-02-23 04:00:00	long	long	-4.07063488	-4.20769190	-0.13705702
2023-02-26 04:00:00	long	long	12.31911836	12.73389929	0.41478093
2023-02-28 20:00:00	long	long	5.67890855	5.87011566	0.19120711
2023-03-02 04:00:00	long	long	-7.93520449	-8.20238038	-0.26717589
2023-03-03 00:00:00	long	long	-5.30442914	-5.48302763	-0.17859849
2023-03-06 08:00:00	long	long	0.77991911	0.80617875	0.02625964
2023-03-07 20:00:00	long	long	-5.77489160	-5.96933043	-0.19443883
2023-03-13 00:00:00	long	long	70.35782342	72.72674969	2.36892627
2023-03-20 04:00:00	short	short	-10.86205969	-11.22778190	-0.36572221
2023-03-21 20:00:00	short	short	1.27231300	1.31515139	0.04283839
2023-03-31 00:00:00	long	long	3.96334539	4.09679001	0.13344462
2023-04-03 08:00:00	short	short	-4.71663621	-4.87544390	-0.15880769
2023-04-04 04:00:00	long	long	9.98917533	10.32550779	0.33633246
