iteration	phase	backtest_id	profit	win_rate	sharpe_ratio	max_drawdown	volatility	open_positions_num	score	beats_profit	beats_win_rate	beats_drawdown	strict_dominator	params_json
11	1	15701	3217.91	0.44942	2.02192	0.310567	0.561731	603	-1096.4949	False	False	True	False	"{""atr_take_profit_ratio"":3.42,""bb_width_threshold"":0.025,""chase_min_body_ratio"":0.48,""extreme_min_body_ratio"":0.73,""extreme_min_move_pct"":0.016,""fib_min_volume_ratio"":1.91,""fib_stop_loss_buffer_ratio"":0.012,""fib_trigger_high"":0.66,""fib_trigger_low"":0.304,""fixed_profit_percent_take_profit"":0.043,""leg_size"":6,""long_threshold"":0.219,""max_loss_percent"":0.043,""min_total_weight"":2.17,""pullback_touch_threshold"":0.051,""rsi_overbought"":87.2,""rsi_oversold"":18.0,""short_threshold"":0.111,""tp_kline_ratio"":0.63,""volume_increase_ratio"":3.01,""weight_bolling"":1.09,""weight_engulfing"":0.83,""weight_fvg"":1.54,""weight_kline_hammer"":0.95,""weight_leg"":0.79}"
12	1	15702	2607.13	0.442997	1.94704	0.316852	0.535009	616	-2126.788	False	False	True	False	"{""atr_take_profit_ratio"":2.72,""bb_width_threshold"":0.024,""chase_min_body_ratio"":0.47,""extreme_min_body_ratio"":0.6,""extreme_min_move_pct"":0.011,""fib_min_volume_ratio"":1.76,""fib_stop_loss_buffer_ratio"":0.014,""fib_trigger_high"":0.602,""fib_trigger_low"":0.309,""fixed_profit_percent_take_profit"":0.054,""leg_size"":7,""long_threshold"":0.174,""max_loss_percent"":0.036,""min_total_weight"":2.12,""pullback_touch_threshold"":0.058,""rsi_overbought"":84.4,""rsi_oversold"":17.5,""short_threshold"":0.092,""tp_kline_ratio"":0.67,""volume_increase_ratio"":2.7,""weight_bolling"":0.89,""weight_engulfing"":1.01,""weight_fvg"":1.54,""weight_kline_hammer"":0.82,""weight_leg"":0.79}"
13	1	15703	1294.09	0.456193	1.40218	0.409895	0.543273	663	-4473.5976	False	False	False	False	"{""atr_take_profit_ratio"":2.73,""bb_width_threshold"":0.032,""chase_min_body_ratio"":0.53,""extreme_min_body_ratio"":0.66,""extreme_min_move_pct"":0.011,""fib_min_volume_ratio"":1.85,""fib_stop_loss_buffer_ratio"":0.013,""fib_trigger_high"":0.661,""fib_trigger_low"":0.357,""fixed_profit_percent_take_profit"":0.042,""leg_size"":6,""long_threshold"":0.215,""max_loss_percent"":0.042,""min_total_weight"":2.1,""pullback_touch_threshold"":0.055,""rsi_overbought"":88.4,""rsi_oversold"":14.8,""short_threshold"":0.139,""tp_kline_ratio"":0.72,""volume_increase_ratio"":2.21,""weight_bolling"":0.98,""weight_engulfing"":1.02,""weight_fvg"":1.23,""weight_kline_hammer"":0.79,""weight_leg"":0.89}"
14	1	15704	1283.53	0.474419	1.50671	0.312798	0.504023	646	-2821.5765	False	False	True	False	"{""atr_take_profit_ratio"":3.1,""bb_width_threshold"":0.03,""chase_min_body_ratio"":0.6,""extreme_min_body_ratio"":0.72,""extreme_min_move_pct"":0.01,""fib_min_volume_ratio"":2.34,""fib_stop_loss_buffer_ratio"":0.007,""fib_trigger_high"":0.651,""fib_trigger_low"":0.294,""fixed_profit_percent_take_profit"":0.046,""leg_size"":9,""long_threshold"":0.184,""max_loss_percent"":0.039,""min_total_weight"":2.02,""pullback_touch_threshold"":0.043,""rsi_overbought"":88.9,""rsi_oversold"":17.7,""short_threshold"":0.08,""tp_kline_ratio"":0.69,""volume_increase_ratio"":3.03,""weight_bolling"":1.06,""weight_engulfing"":0.84,""weight_fvg"":1.37,""weight_kline_hammer"":1.01,""weight_leg"":0.94}"
15	1	15705	2526.73	0.463351	1.755	0.379384	0.585307	766	-2181.3423	False	False	True	False	"{""atr_take_profit_ratio"":3.24,""bb_width_threshold"":0.029,""chase_min_body_ratio"":0.58,""extreme_min_body_ratio"":0.68,""extreme_min_move_pct"":0.008,""fib_min_volume_ratio"":1.83,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.601,""fib_trigger_low"":0.319,""fixed_profit_percent_take_profit"":0.05,""leg_size"":6,""long_threshold"":0.21,""max_loss_percent"":0.04,""min_total_weight"":2.02,""pullback_touch_threshold"":0.042,""rsi_overbought"":82.1,""rsi_oversold"":17.5,""short_threshold"":0.085,""tp_kline_ratio"":0.67,""volume_increase_ratio"":2.41,""weight_bolling"":0.83,""weight_engulfing"":0.8,""weight_fvg"":1.28,""weight_kline_hammer"":0.89,""weight_leg"":1.04}"
16	1	15706	2275.82	0.492063	1.93552	0.293354	0.507693	631	-324.724	False	True	True	False	"{""atr_take_profit_ratio"":2.97,""bb_width_threshold"":0.033,""chase_min_body_ratio"":0.56,""extreme_min_body_ratio"":0.64,""extreme_min_move_pct"":0.01,""fib_min_volume_ratio"":1.87,""fib_stop_loss_buffer_ratio"":0.009,""fib_trigger_high"":0.616,""fib_trigger_low"":0.338,""fixed_profit_percent_take_profit"":0.055,""leg_size"":9,""long_threshold"":0.181,""max_loss_percent"":0.045,""min_total_weight"":2.12,""pullback_touch_threshold"":0.041,""rsi_overbought"":83.5,""rsi_oversold"":16.3,""short_threshold"":0.113,""tp_kline_ratio"":0.74,""volume_increase_ratio"":2.58,""weight_bolling"":0.88,""weight_engulfing"":0.91,""weight_fvg"":1.63,""weight_kline_hammer"":0.82,""weight_leg"":0.98}"
17	1	15707	2869.51	0.4967	2.13632	0.286902	0.507389	606	807.2291	False	True	True	False	"{""atr_take_profit_ratio"":2.92,""bb_width_threshold"":0.031,""chase_min_body_ratio"":0.47,""extreme_min_body_ratio"":0.63,""extreme_min_move_pct"":0.012,""fib_min_volume_ratio"":2.28,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.635,""fib_trigger_low"":0.309,""fixed_profit_percent_take_profit"":0.042,""leg_size"":9,""long_threshold"":0.162,""max_loss_percent"":0.043,""min_total_weight"":2.17,""pullback_touch_threshold"":0.038,""rsi_overbought"":83.5,""rsi_oversold"":15.7,""short_threshold"":0.104,""tp_kline_ratio"":0.67,""volume_increase_ratio"":3.06,""weight_bolling"":0.85,""weight_engulfing"":0.96,""weight_fvg"":1.55,""weight_kline_hammer"":0.81,""weight_leg"":0.92}"
18	1	15708	3190.38	0.455556	2.04425	0.336881	0.553668	632	-1055.6025	False	False	True	False	"{""atr_take_profit_ratio"":3.41,""bb_width_threshold"":0.027,""chase_min_body_ratio"":0.62,""extreme_min_body_ratio"":0.63,""extreme_min_move_pct"":0.014,""fib_min_volume_ratio"":1.99,""fib_stop_loss_buffer_ratio"":0.011,""fib_trigger_high"":0.602,""fib_trigger_low"":0.319,""fixed_profit_percent_take_profit"":0.047,""leg_size"":6,""long_threshold"":0.155,""max_loss_percent"":0.04,""min_total_weight"":2.05,""pullback_touch_threshold"":0.049,""rsi_overbought"":87.9,""rsi_oversold"":10.9,""short_threshold"":0.133,""tp_kline_ratio"":0.64,""volume_increase_ratio"":2.91,""weight_bolling"":0.84,""weight_engulfing"":0.98,""weight_fvg"":1.53,""weight_kline_hammer"":0.9,""weight_leg"":0.92}"
19	1	15709	1124.26	0.449831	1.36361	0.378408	0.521118	889	-4703.8851	False	False	True	False	"{""atr_take_profit_ratio"":3.5,""bb_width_threshold"":0.029,""chase_min_body_ratio"":0.54,""extreme_min_body_ratio"":0.63,""extreme_min_move_pct"":0.013,""fib_min_volume_ratio"":1.81,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.657,""fib_trigger_low"":0.325,""fixed_profit_percent_take_profit"":0.048,""leg_size"":7,""long_threshold"":0.159,""max_loss_percent"":0.041,""min_total_weight"":2.01,""pullback_touch_threshold"":0.053,""rsi_overbought"":84.2,""rsi_oversold"":15.4,""short_threshold"":0.11,""tp_kline_ratio"":0.59,""volume_increase_ratio"":2.3,""weight_bolling"":0.88,""weight_engulfing"":1.04,""weight_fvg"":1.32,""weight_kline_hammer"":0.85,""weight_leg"":0.99}"
20	1	15710	3705.59	0.473768	2.15988	0.302631	0.55633	629	635.5457	True	False	True	False	"{""atr_take_profit_ratio"":3.25,""bb_width_threshold"":0.029,""chase_min_body_ratio"":0.45,""extreme_min_body_ratio"":0.73,""extreme_min_move_pct"":0.012,""fib_min_volume_ratio"":2.48,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.654,""fib_trigger_low"":0.342,""fixed_profit_percent_take_profit"":0.041,""leg_size"":7,""long_threshold"":0.174,""max_loss_percent"":0.041,""min_total_weight"":1.97,""pullback_touch_threshold"":0.05,""rsi_overbought"":87.4,""rsi_oversold"":15.5,""short_threshold"":0.106,""tp_kline_ratio"":0.71,""volume_increase_ratio"":2.81,""weight_bolling"":1.08,""weight_engulfing"":0.86,""weight_fvg"":1.31,""weight_kline_hammer"":0.97,""weight_leg"":0.75}"
